index,title,creator,date,contributor,publisher,description,authorlink,cataloglink,links,notes,type,subject,identifier,findingAids
0,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
1,Ueber die chronik des Sulpicius Severus,"Bernays, Jacob",1861,,Breslau: Grass,"['72, 1 (various pagings)', 'Jahresbericht d. jüdisch-theologischen seminars ""Fraenckelscher stiftung""']","?limit=30&query=facet_creator,exact,Bernays++Jacob",,,,book,"History, Ancient ; Severus, Sulpicius",HOLLIS+:,
2,"[""XII schrifttafeln zu Wattenbach's Anleitung zur griechischen Palaeographie"", ""Zwölf schrifttafeln zu Wattenbach's Anleitung zur griechischen Palaeographie""]",,1867,"Wattenbach, Wilhelm, 1819-1897. --Anleitung zur griechischen Palaeographie. --$$QWattenbach, Wilhelm, 1819-1897.","Leipzig, 1867.",,,"<a href=""http://id.lib.harvard.edu/alma/990072856260203941/catalog"">http://id.lib.harvard.edu/alma/990072856260203941/catalog</a>",,,book,"Paleography, Greek.","['OCLC: 235973821', 'HOLLIS+: 990072856260203941']",
3,Die Chronik des Cassiodorus Senator vom j. 519 n. Chr.,Cassiodorus,1864,"Mommsen, Theodor",Leipzig: S. Hirzel,"['[547]-696 p', '""Aus dem VIII. Bande der Abhandlungen der Königlich Sächsischen Gesellschaft der Wissenschaften.""']","?limit=30&query=facet_creator,exact,Cassiodorus",,,,book,"Chronology, Roman ; Rome--History--Chronology",HOLLIS+:,
4,Die Burg-kapelle zu Iben,"Peters, F",1869,,Bonn: Gedr. auf Kosten des Vereins,"['10 p', 'illus., III pl. (1 fold.)']","?limit=30&query=facet_creator,exact,Peters++F",,,,book,Iben (Castle),HOLLIS+:,
5,St. Gallische Denkmale aus der karolingischen Zeit,"Dümmler, Ernst",,,,,"?limit=30&query=facet_creator,exact,Dümmler++Ernst",,,,article,History,"['HOLLIS+:', 'ISSN: 0304-4327']",
6,Beiträge zur lateinischen paläographie,"['Wattenbach, Wilhelm, 1819-1897 $$QWattenbach, Wilhelm, 1819-1897', 'von W. Wattenbach.']",1866,,"Heidelberg, 1866.",,"?limit=30&query=facet_creator,exact,Wattenbach++Wilhelm++1819-1897+$$QWattenbach++Wilhelm++1819-1897","<a href=""http://id.lib.harvard.edu/alma/990068723130203941/catalog"">http://id.lib.harvard.edu/alma/990068723130203941/catalog</a>",,Lithographed reproduction of manuscript.,book,,"['OCLC: 31462518', 'HOLLIS+: 990068723130203941']",
7,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
8,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
9,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
10,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
11,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
12,"['Liber diurnus, ou, Recueil des formules : usitées par la chancellerie Pontificale du Ve au XIe siècle', 'Recueil des formules']",publié d'après le manuscrit des archives du Vatican avec les notes et dissertations du P. Garnier et le commentaire inédit de Baluze.,1869,"Rozière, Eugène de, 1820-1896.$$QRozière, Eugène de, 1820-1896.","Paris : Durand et Pedone, 1869.",,,"<a href=""http://id.lib.harvard.edu/alma/990038949630203941/catalog"">http://id.lib.harvard.edu/alma/990038949630203941/catalog</a>",,"Text in Latin, introduction in French.",book,Formularies (Diplomatics),"['OCLC: 1035230464', 'HOLLIS+: 990038949630203941']",
13,[None],[None],[None],,[None],[None],[None],[None],[None],,[None],[None],[None],
